"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US05031","Craighead County, Arkansas","108558","*****","85821","1189","17485","1415","326","435","660","596","0","201","3163","1678","1103","721","34","60","1069","721"
"0500000US05045","Faulkner County, Arkansas","124806","*****","102041","1010","13893","1058","800","430","1626","460","0","201","2303","1170","4143","1437","150","177","3993","1373"
"0500000US05051","Garland County, Arkansas","99154","*****","85417","914","7374","1044","1004","432","1048","248","0","201","778","737","3533","1293","424","425","3109","1186"
"0500000US05069","Jefferson County, Arkansas","68114","*****","27109","531","39238","347","230","186","659","201","0","201","581","535","297","205","64","84","233","205"
"0500000US05085","Lonoke County, Arkansas","73657","*****","65323","1104","5335","712","178","219","618","293","21","41","1076","1133","1106","658","127","192","979","711"
"0500000US05119","Pulaski County, Arkansas","392680","*****","216820","2490","145102","2106","2096","1192","9042","1250","387","439","8638","2686","10595","2744","754","700","9841","2623"
"0500000US05125","Saline County, Arkansas","121421","*****","106756","604","9542","844","321","397","1495","344","481","807","676","503","2150","688","298","311","1852","630"
"0500000US05131","Sebastian County, Arkansas","127753","*****","91102","1478","8867","967","1289","644","6340","262","57","122","13542","2150","6556","1437","1098","742","5458","1077"
"0500000US05143","Washington County, Arkansas","236961","*****","181620","4197","8323","1104","3461","1014","6287","1374","5877","271","24341","3968","7052","2094","1336","812","5716","1797"
"0500000US05145","White County, Arkansas","78727","*****","71855","946","3569","380","513","644","749","125","0","201","230","271","1811","1064","416","570","1395","766"
"0500000US06001","Alameda County, California","1666753","*****","643907","9044","172152","3404","10645","1836","513491","5600","14224","951","202397","10399","109937","8010","22863","3234","87074","7676"
"0500000US06007","Butte County, California","231256","*****","186452","2871","4019","1027","2274","853","10017","1744","360","427","12617","2628","15517","2468","1522","911","13995","2385"
