date,fips_code,lstm_cases_predicted,lstm_cases_residuals,lstm_deaths_predicted,lstm_deaths_residuals,sarimax_cases_predicted,sarimax_cases_residuals,sarimax_cases_forecasted,sarimax_deaths_predicted,sarimax_deaths_residuals,sarimax_deaths_forecasted
2020-08-01,48001,,,,,2198.399714636993,10.60028536300706,,7.958006235549965,0.041993764450035435,
2020-08-01,48003,,,,,256.7250133722106,-1.7250133722105832,,5.999589710155263,0.00041028984473712166,
2020-08-01,48005,,,,,1645.382091773086,1.6179082269140963,,31.99671430247757,3.0032856975224256,
2020-08-01,48007,,,,,159.5797619852911,-6.5797619852911,,12.720382383413956,-0.7203823834139556,
2020-08-01,48009,,,,,16.973147639119688,3.0268523608803117,,,,
2020-08-01,48011,,,,,4.999990224383422,3.0000097756165767,,,,
2020-08-01,48013,,,,,408.3658160609357,-3.3658160609357424,,14.999996867942846,3.132057154076051e-06,
2020-08-01,48015,,,,,215.668875636572,-2.6688756365719826,,1.872879506908701,1.127120493091299,
2020-08-01,48017,,,,,157.96437147990426,0.03562852009574158,,4.368840433279631,-0.3688404332796305,
2020-08-01,48019,,,,,85.67126527922817,-2.671265279228166,,2.9999991682724403,8.317275597136131e-07,
2020-08-01,48021,,,,,1314.492413725609,-18.49241372560868,,18.123400159152688,-0.12340015915268765,
2020-08-01,48023,,,,,6.245320261753848,0.7546797382461525,,,,
2020-08-01,48025,,,,,527.8845937074054,-16.88459370740543,,9.398872940371856,-0.39887294037185583,
2020-08-01,48027,,,,,3541.92477845231,-45.92477845230997,,30.28721551514959,0.7127844848504097,
2020-08-01,48029,,,,,41963.713613774846,-774.713613774853,,589.7650071207469,21.23499287925313,
2020-08-01,48031,,,,,98.48828459551511,-0.4882845955151112,,2.9999978267918666,1.0000021732081341,
2020-08-01,48035,,,,,123.83754878784865,1.1624512121513677,,1.9683490277184077,0.031650972281592527,
2020-08-01,48037,,,,,701.2025890827292,6.79741091727078,,38.20667908771286,-0.2066790877128568,
2020-08-01,48039,,,,,6584.830403302193,-50.8304033021941,,68.21581419414586,3.784185805854136,
2020-08-01,48041,,,,,3911.714791039303,-2.714791039302781,,45.596503047821024,-0.5965030478210167,
2020-08-01,48043,,,,,180.46888759984463,0.5311124001553367,,1.9998672862680875,0.0001327137319124816,
2020-08-01,48045,,,,,10.999932034726694,6.796527330799051e-05,,0.9999842488747664,1.5751125233665064e-05,
2020-08-01,48047,,,,,88.18849474793996,-3.188494747939956,,0.9999048673757936,9.513262420646208e-05,
2020-08-01,48049,,,,,394.36504172406546,-6.365041724065519,,21.326396472123466,-0.3263964721234629,
2020-08-01,48051,,,,,232.9493594913036,-1.9493594913035681,,4.999966619850028,3.3380149973005764e-05,
2020-08-01,48053,,,,,548.3322685859929,-6.332268585992893,,4.452613974013589,2.5473860259864107,
2020-08-01,48055,,,,,1082.6662201999768,-12.666220199976804,,22.99999891740437,1.0825956344717724e-06,
2020-08-01,48057,,,,,467.7024177510405,-14.702417751040516,,2.8043347774322007,0.19566522256779886,
2020-08-01,48059,,,,,40.4557506284561,0.5442493715438985,,2.9999997258173887,2.7418261083766993e-07,
2020-08-01,48061,,,,,11752.933165547849,-781.9331655478492,,334.55840978735483,11.441590212645169,
2020-08-01,48063,,,,,216.65085068959735,-2.6508506895973767,,3.99999966645725,3.3354274986407967e-07,
2020-08-01,48065,,,,,12.979198584367232,0.020801415632767828,,,,
2020-08-01,48067,,,,,152.42178009153218,0.578219908467787,,5.9999637851212775,1.0000362148787234,
2020-08-01,48069,,,,,170.69740816893483,-0.6974081689348282,,2.9998390743631638,0.00016092563683667294,
2020-08-01,48071,,,,,901.391572758656,-7.391572758656138,,5.999786975683207,0.00021302431679348646,
2020-08-01,48073,,,,,782.8768302464537,0.1231697535463354,,3.9998671628609217,0.00013283713907918934,
2020-08-01,48075,,,,,36.901640396042204,-2.901640396042197,,,,
2020-08-01,48077,,,,,33.68203524998724,0.3179647500127629,,0.9994808814144848,0.0005191185855152325,
2020-08-01,48079,,,,,21.710702800833737,-0.7107028008337366,,,,
2020-08-01,48081,,,,,37.379004586652776,1.6209954133472166,,0.9995751268167384,0.00042487318326145385,
2020-08-01,48083,,,,,12.498211442980347,-1.4982114429803488,,,,
2020-08-01,48085,,,,,6448.628585329842,-48.62858532984228,,85.07499643928783,-2.0749964392878297,
2020-08-01,48087,,,,,6.9999770171590505,2.2982840948593264e-05,,,,
2020-08-01,48089,,,,,239.7278287340045,2.272171265995496,,1.9999945025590158,5.497440983992519e-06,
2020-08-01,48091,,,,,2185.05524148528,-28.05524148527957,,60.582662657040345,0.4173373429596552,
2020-08-01,48093,,,,,110.94944781000252,-3.949447810002511,,2.9998023516856533,0.00019764831434709865,
2020-08-01,48095,,,,,24.816455556232125,1.1835444437678788,,,,
2020-08-01,48097,,,,,200.78409265275607,-0.7840926527560725,,1.8064516129032258,0.193548387096774,
2020-08-01,48099,,,,,613.6407008475733,-1.6407008475732712,,4.999998600777613,1.3992223868442009e-06,
2020-08-01,48101,,,,,14.916895473407214,-0.9168954734072124,,1.999988336717536,1.1663282464269287e-05,
2020-08-01,48103,,,,,73.97089453579628,1.0291054642037238,,1.9771222155328052,0.022877784467194573,
2020-08-01,48105,,,,,158.04506767648994,-5.0450676764899365,,1.999999759322559,1.0000002406774409,
2020-08-01,48107,,,,,53.474359662743424,-1.4743596627434314,,0.9896907216494848,0.010309278350515316,
2020-08-01,48109,,,,,14.993352076646064,0.006647923353934715,,1.9999932044001776,6.795599822195798e-06,
