date,fips_code,sarimax_cases_predicted,sarimax_cases_residuals,sarimax_cases_forecasted,sarimax_deaths_predicted,sarimax_deaths_residuals,sarimax_deaths_forecasted
2020-08-01,48001,2198.4986026242436,10.501397375756369,,7.96191104706729,0.03808895293270975,
2020-08-01,48003,256.7250133722106,-1.725013372210583,,5.996621218805453,0.0033787811945469315,
2020-08-01,48005,1645.382091773086,1.6179082269140963,,31.99731408729398,3.0026859127060206,
2020-08-01,48007,159.5797619852911,-6.5797619852911,,12.720382383413956,-0.7203823834139556,
2020-08-01,48009,16.970320899743925,3.0296791002560752,,,,
2020-08-01,48011,4.999978133117525,3.0000218668824754,,,,
2020-08-01,48013,408.36581606093574,-3.3658160609357424,,14.999920805990639,7.91940093609611e-05,
2020-08-01,48015,215.66887563657198,-2.6688756365719826,,1.872879506908701,1.127120493091299,
2020-08-01,48017,158.7023574065906,-0.7023574065906075,,4.369313726984738,-0.3693137269847382,
2020-08-01,48019,85.67126527922817,-2.671265279228166,,2.9999991682724403,8.317275597136131e-07,
2020-08-01,48021,1314.4924137256087,-18.492413725608685,,18.123400159152688,-0.12340015915268765,
2020-08-01,48023,6.248194957912767,0.7518050420872333,,,,
2020-08-01,48025,527.8845937074054,-16.88459370740543,,8.770477337336915,0.22952266266308463,
2020-08-01,48027,3541.92477845231,-45.924778452309965,,30.28721551514959,0.7127844848504097,
2020-08-01,48029,41963.71361377485,-774.713613774853,,589.7650071207469,21.234992879253127,
2020-08-01,48031,98.48828459551511,-0.48828459551511116,,2.999515714944149,1.000484285055851,
2020-08-01,48035,123.83754878784863,1.1624512121513675,,1.9640224492741856,0.03597755072581443,
2020-08-01,48037,701.2025890827292,6.797410917270781,,38.52361425699874,-0.5236142569987408,
2020-08-01,48039,6584.830403302194,-50.8304033021941,,68.50762380464839,3.4923761953516106,
2020-08-01,48041,3911.714791039303,-2.7147910393027814,,45.59650304782102,-0.5965030478210167,
2020-08-01,48043,180.46888759984466,0.5311124001553367,,1.9999998312163108,1.6878368924722054e-07,
2020-08-01,48045,10.997889094550239,0.0021109054497614466,,0.9999697425270417,3.0257472958261644e-05,
2020-08-01,48047,88.18849474793996,-3.1884947479399557,,0.9999668620286724,3.313797132764584e-05,
2020-08-01,48049,394.3650417240655,-6.36504172406552,,21.326396472123463,-0.3263964721234629,
2020-08-01,48051,232.94935949130357,-1.949359491303568,,4.999952139812843,4.786018715741136e-05,
2020-08-01,48053,548.3322685859929,-6.332268585992892,,4.2573059276513705,2.7426940723486295,
2020-08-01,48055,1082.6662201999768,-12.666220199976806,,23.055585558319354,-0.05558555831935408,
2020-08-01,48057,467.7024177510405,-14.702417751040514,,2.804334777432201,0.19566522256779884,
2020-08-01,48059,40.4557506284561,0.5442493715438985,,2.9999344839911597,6.551600884030506e-05,
2020-08-01,48061,11752.933165547849,-781.9331655478491,,334.55840978735483,11.441590212645167,
2020-08-01,48063,216.65085068959738,-2.6508506895973767,,3.9999882525830137,1.174741698628523e-05,
2020-08-01,48065,13.012004222750667,-0.012004222750666926,,,,
2020-08-01,48067,152.4217800915322,0.578219908467787,,5.999938665770798,1.0000613342292022,
2020-08-01,48069,170.69740816893483,-0.6974081689348282,,2.9941589853283026,0.005841014671697398,
2020-08-01,48071,901.3915727586561,-7.391572758656139,,5.999997352421142,2.6475788583724125e-06,
2020-08-01,48073,782.8768302464537,0.12316975354633541,,3.9999997071879956,2.9281200442099475e-07,
2020-08-01,48075,36.9016403960422,-2.901640396042197,,,,
2020-08-01,48077,33.68203524998724,0.3179647500127629,,0.9999061301984606,9.386980153935909e-05,
2020-08-01,48079,21.710702800833737,-0.7107028008337366,,,,
2020-08-01,48081,37.626501030212715,1.3734989697872848,,0.9999783662480869,2.1633751913108235e-05,
2020-08-01,48083,12.498211442980349,-1.4982114429803488,,,,
2020-08-01,48085,6448.628585329842,-48.62858532984228,,85.07499643928783,-2.0749964392878297,
2020-08-01,48087,6.999974539849626,2.546015037374616e-05,,,,
2020-08-01,48089,239.7278287340045,2.272171265995496,,1.9999428141636764,5.718583632363661e-05,
2020-08-01,48091,2185.0552414852796,-28.055241485279566,,60.582662657040345,0.4173373429596552,
2020-08-01,48093,110.94944781000251,-3.9494478100025106,,2.999992725510367,7.2744896328913455e-06,
2020-08-01,48095,24.81645555623212,1.1835444437678788,,,,
2020-08-01,48097,200.78409265275607,-0.7840926527560725,,1.6949886979427455,0.30501130205725446,
2020-08-01,48099,613.6407008475733,-1.640700847573271,,4.999998338761906,1.6612380937530702e-06,
2020-08-01,48101,14.916895473407212,-0.9168954734072123,,1.9999799921854642,2.0007814535816237e-05,
2020-08-01,48103,73.97089453579628,1.0291054642037238,,1.9764320621842393,0.02356793781576072,
2020-08-01,48105,158.04506767648994,-5.045067676489936,,1.999999759322559,1.000000240677441,
2020-08-01,48107,53.47435966274343,-1.4743596627434314,,0.9802814765337318,0.019718523466268234,
2020-08-01,48109,14.974977608417403,0.025022391582597336,,1.9999949398716357,5.060128364320349e-06,
2020-08-01,48111,181.5069638164883,-2.506963816488309,,4.999462490335782,0.00053750966421795,
2020-08-01,48113,53021.7806993491,-2431.780699349103,,684.202184253582,-3.202184253582004,
2020-08-01,48115,136.04487727425453,0.9551227257454684,,3.999997019318772,2.980681228059723e-06,
2020-08-01,48117,665.8558946435669,-9.855894643566899,,19.048940318842035,-0.048940318842035424,
2020-08-01,48119,14.181488264774277,-0.18148826477427704,,,,
2020-08-01,48121,6883.094201495595,10.905798504404629,,70.9236640715955,3.0763359284045038,
