County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Brazos,27.3,20.63,9.46,1.1,25.94,79.8,11.08,0.67,6.27,0.12,2.06,39216,50113,41593,23.2,20.2,87.94,12.06,85.6,39.8,3.1,229211,332.83,16.8,83.2,Texas,48041,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Brewster,44.1,18.25,24.24,2.67,44.93,92.57,1.63,1.7,1.61,0.18,2.31,45652,45670,40768,16.0,21.2,65.13,34.87,86.4,36.0,3.5,9203,1.49,19.7,80.3,Texas,48043,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Briscoe,46.1,19.53,26.13,3.43,25.26,93.19,3.57,0.73,0.26,0.0,2.25,35243,44409,32256,16.2,24.3,0.0,100.0,77.5,23.0,4.3,1546,1.82,26.7,73.3,Texas,48045,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Brooks,35.4,27.49,18.44,2.16,91.59,96.66,1.0,0.66,1.13,0.04,0.51,33861,30116,43551,31.0,48.6,68.24,31.76,70.4,14.6,8.2,7093,7.66,17.9,82.1,Texas,48047,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Brown,41.4,21.58,20.39,2.52,22.59,92.49,4.0,0.85,0.81,0.08,1.79,38830,47097,37921,13.2,21.2,59.6,40.4,85.1,18.5,3.8,37864,40.35,17.8,82.2,Texas,48049,TX,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Burleson,44.0,21.78,20.97,2.82,20.7,83.85,12.84,1.08,0.4,0.04,1.78,42629,53626,45600,14.8,23.7,23.34,76.66,80.4,14.8,4.1,18443,26.08,20.4,79.6,Texas,48051,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Burnet,44.8,21.07,22.84,2.37,22.41,94.24,2.08,1.18,0.9,0.08,1.52,46516,56696,42591,11.0,18.6,44.33,55.67,86.1,23.0,3.2,48155,43.0,23.1,76.9,Texas,48053,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Caldwell,36.5,23.25,14.91,1.68,53.01,89.05,6.5,1.54,0.98,0.1,1.83,33668,52588,39602,14.1,20.7,57.71,42.29,79.1,14.7,3.9,43664,69.81,21.5,78.5,Texas,48055,TX,1,Metro - Counties in metro areas of 1 million population or more
Calhoun,39.1,23.94,18.7,2.21,49.36,89.2,3.13,0.83,5.41,0.05,1.38,38668,52085,66625,14.2,24.0,55.27,44.73,80.5,15.4,5.8,21290,42.18,19.2,80.8,Texas,48057,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Callahan,43.6,21.9,21.21,2.49,9.89,94.93,1.64,0.79,0.69,0.1,1.84,39392,50330,42182,12.0,20.2,27.82,72.18,88.0,14.7,3.7,13943,15.06,18.9,81.1,Texas,48059,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Cameron,32.3,29.91,13.85,1.74,89.81,97.11,0.81,0.66,0.79,0.07,0.56,28756,38106,33599,27.9,40.2,91.58,8.42,65.6,16.8,6.9,423163,455.95,30.2,69.8,Texas,48061,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Camp,38.3,26.33,19.05,1.75,25.41,78.56,16.69,0.96,0.97,0.17,2.65,38660,43714,39208,18.8,30.5,38.52,61.48,81.2,15.0,5.6,13094,63.33,20.6,79.4,Texas,48063,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
