"County","County Population"," Population Density Per Sq Mile","County Seat","County Seat Population"
"Hunt","98,594","102.50","Greenville"," 25,557 "
"Hutchinson","20,938","24.96","Stinnett"," 1,881 "
"Irion","1,536","1.52","Mertzon"," 781 "
"Jack","8,935","9.93","Jacksboro"," 4,511 "
"Jackson","14,760","16.97","Edna"," 5,499 "
"Jasper","35,529","38.04","Jasper"," 7,590 "
"Jeff Davis","2,274","1.03","Fort Davis"," 1,201 "
"Jefferson","251,565","287.89","Beaumont"," 118,296 "
"Jim Hogg","5,200","4.66","Hebbronville"," 4,558 "
"Jim Wells","40,482","47.21","Alice"," 19,104 "
"Johnson","175,817","208.27","Cleburne"," 29,337 "
"Jones","20,083","21.76","Anson"," 2,430 "
"Karnes","15,601","19.83","Karnes City"," 3,042 "
"Kaufman","136,154","132.38","Kaufman"," 6,703 "
"Kendall","47,431","50.43","Boerne"," 10,471 "
"Kenedy","404","0.29","Sarita"," 238 "
"Kent","762","0.90","Jayton"," 534 "
"Kerr","52,600","44.98","Kerrville"," 22,347 "
"Kimble","4,337","3.68","Junction"," 2,574 "
"King","272","0.31","Guthrie"," 160 "
"Kinney","3,667","2.65","Brackettville"," 1,688 "
"Kleberg","30,680","36.38","Kingsville"," 26,213 "
"Knox","3,664","4.37","Benjamin"," 258 "
"La Salle","7,520","4.63","Cotulla"," 3,603 "
"Lamar","49,859","54.89","Paris"," 25,171 "
"Lamb","12,893","13.75","Littlefield"," 6,372 "
"Lampasas","21,428","27.60","Lampasas"," 6,681 "
"Lavaca","20,154","19.86","Hallettsville"," 2,550 "
"Lee","17,239","26.41","Giddings"," 4,881 "
"Leon","17,404","15.66","Centerville"," 892 "
"Liberty","88,219","65.30","Liberty"," 8,397 "
"Limestone","23,437","25.83","Groesbeck"," 4,328 "
"Lipscomb","3,233","3.54","Lipscomb"," 37 "
"Live Oak","12,207","11.09","George West"," 2,445 "
"Llano","21,795","20.66","Llano"," 3,232 "
"Loving","169","0.12","Mentone"," 19 "
"Lubbock","310,569","311.33","Lubbock"," 229,573 "
"Lynn","5,951","6.63","Tahoka"," 2,673 "
"Madison","14,284","29.32","Madisonville"," 4,396 "
"Marion","9,854","27.69","Jefferson"," 2,106 "
"Martin","5,771","5.25","Stanton"," 2,492 "
"Mason","4,274","4.32","Mason"," 2,114 "
"Matagorda","36,643","33.36","Bay City"," 17,614 "
"Maverick","58,722","42.41","Eagle Pass"," 26,248 "
"McCulloch","7,984","7.77","Brady"," 5,528 "
"McLennan","256,623","226.50","Waco"," 124,805 "
"McMullen","743","0.62","Tilden"," 261 "
"Medina","51,584","34.71","Hondo"," 8,803 "
"Menard","2,138","2.49","Menard"," 1,471 "
"Midland","176,832","152.03","Midland"," 111,147 "
"Milam","24,823","24.34","Cameron"," 5,552 "
"Mills","4,873","6.60","Goldthwaite"," 1,878 "
"Mitchell","8,545","10.32","Colorado City"," 4,146 "
"Montague","19,818","21.18","Montague"," 304 "
"Montgomery","607,391","437.49","Conroe"," 56,207 "
"Moore","20,940","24.35","Dumas"," 14,691 "
"Morris","12,388","51.33","Daingerfield"," 2,560 "
"Motley","1,200","1.22","Matador"," 607 "
"Nacogdoches","65,204","68.17","Nacogdoches"," 32,996 "
"Navarro","50,113","47.28","Corsicana"," 23,770 "
"Newton","13,595","15.47","Newton"," 2,478 "
"Nolan","14,714","16.68","Sweetwater"," 10,906 "
"Nueces","362,294","405.76","Corpus Christi"," 305,215 "
"Ochiltree","9,836","11.14","Perryton"," 8,802 "
"Oldham","2,112","1.37","Vega"," 884 "
"Orange","83,396","245.26","Orange"," 18,595 "
"Palo Pinto","29,189","29.53","Palo Pinto"," 333 "
"Panola","23,194","29.68","Carthage"," 6,779 "
"Parker","142,878","129.42","Weatherford"," 25,250 "
"Parmer","9,605","11.66","Farwell"," 1,363 "
"Pecos","15,823","3.26","Fort Stockton"," 8,283 "
"Polk","51,353","42.96","Livingston"," 5,335 "
"Potter","117,415","133.29","Amarillo"," 190,695 "
"Presidio","6,704","2.03","Marfa"," 1,981 "
"Rains","12,514","47.57","Emory"," 1,239 "
"Randall","137,713","132.44","Canyon"," 13,303 "
"Reagan","3,849","2.86","Big Lake"," 2,936 "
"Real","3,452","4.73","Leakey"," 425 "
"Red River","12,023","12.41","Clarksville"," 3,285 "
"Reeves","15,976","5.23","Pecos"," 8,780 "
"Refugio","6,948","9.58","Refugio"," 2,890 "
"Roberts","854","1.01","Miami"," 597 "
"Robertson","17,074","19.43","Franklin"," 1,564 "
"Rockwall","104,915","616.65","Rockwall"," 37,490 "
"Runnels","10,264","9.99","Ballinger"," 3,767 "
"Rusk","54,406","57.71","Henderson"," 13,712 "
"Sabine","10,542","22.05","Hemphill"," 1,198 "
"San Augustine","8,237","16.71","San Augustine"," 2,108 "
"San Jacinto","28,859","46.35","Coldspring"," 853 "
"San Patricio","66,730","93.45","Sinton"," 5,665 "
"San Saba","6,055","5.40","San Saba"," 3,099 "
"Schleicher","2,793","2.64","Eldorado"," 1,951 "
"Scurry","16,703","18.69","Snyder"," 11,202 "
"Shackelford","3,265","3.69","Albany"," 2,034 "
"Shelby","25,274","31.99","Center"," 5,193 "
"Sherman","3,022","3.29","Stratford"," 2,017 "
"Smith","232,751","227.59","Tyler"," 96,900 "
"Somervell","9,128","45.53","Glen Rose"," 2,444 "
"Starr","64,633","49.84","Rio Grande City"," 13,834 "
"Stephens","9,366","10.74","Breckenridge"," 5,780 "
"Sterling","1,291","1.24","Sterling City"," 888 "
"Stonewall","1,350","1.63","Aspermont"," 919 "
"Sutton","3,776","2.84","Sonora"," 3,027 "
"Swisher","7,397","8.82","Tulia"," 4,967 "
"Tarrant","2,102,515","2,094.74","Fort Worth"," 741,206 "
"Taylor","138,034","143.64","Abilene"," 117,063 "
"Terrell","776","0.42","Sanderson"," 837 "
"Terry","12,337","14.23","Brownfield"," 9,657 "
"Throckmorton","1,501","1.80","Throckmorton"," 828 "
"Titus","32,750","79.63","Mount Pleasant"," 15,564 "
"Tom Green","119,200","72.42","San Angelo"," 93,200 "
