"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Gray","29.25","90.18","5.39","1.63","0.68","0","2.12"
"Grayson","13.8","87.59","6.24","1.8","1.52","0.09","2.77"
"Gregg","18.95","74.54","20.88","1","1.38","0.1","2.09"
"Grimes","24.38","81.01","15.56","0.99","0.39","0.12","1.94"
"Guadalupe","38.24","85.56","8.59","0.96","1.94","0.22","2.73"
"Hale","59.88","90.35","5.76","1.73","0.64","0.13","1.39"
"Hall","34.21","86.91","9.32","1.55","0.46","0.07","1.69"
"Hamilton","13.02","94.93","0.97","1.9","0.79","0.07","1.34"
"Hansford","48.26","95.5","0.97","1.72","0.46","0.05","1.3"
"Hardeman","23.92","89.82","5.85","1.27","0.64","0","2.42"
"Hardin","5.85","91.67","5.58","0.6","0.69","0.03","1.43"
"Harris","43.35","69.69","19.89","1.06","7.3","0.12","1.94"
"Harrison","13.34","75.05","21.1","1.2","0.83","0.11","1.71"
"Hartley","27.2","90.29","7.02","0.7","0.84","0.04","1.12"
"Haskell","28.83","90.91","4.74","1.09","0.95","0","2.32"
"Hays","39.56","90.15","4.5","1.23","1.7","0.14","2.29"
"Hemphill","33.94","94.93","0.83","1.64","1.25","0.13","1.22"
"Henderson","13.12","89.84","6.46","0.93","0.69","0.1","1.98"
"Hidalgo","92.34","97.01","0.88","0.53","1.05","0.04","0.49"
"Hill","21.04","89.63","6.77","0.94","0.64","0.15","1.87"
"Hockley","48.58","92.75","4.01","1.34","0.5","0.07","1.33"
"Hood","12.62","95.54","1.09","0.95","0.9","0.09","1.43"
"Hopkins","17.19","88.78","7.41","0.99","0.71","0.12","1.99"
"Houston","11.37","71.7","25.47","0.67","0.78","0.01","1.37"
"Howard","43.05","88.23","7.02","1.67","1.19","0.09","1.8"
"Hudspeth","77.97","90.64","3.68","1.92","1.5","0.23","2.03"
"Hunt","16.88","86.48","8.33","1.25","1.57","0.18","2.2"
"Hutchinson","23.7","91.69","2.96","2.22","0.71","0.09","2.34"
"Irion","25.86","95.58","1.25","1.19","0.26","0","1.72"
"Jack","17.18","93","4.05","1.08","0.53","0.14","1.21"
"Jackson","33.73","89.52","6.57","0.87","1.15","0.05","1.85"
"Jasper","6.84","81.04","16.01","0.74","0.56","0.08","1.57"
"Jeff Davis","32.63","93.67","1.43","1.34","1.43","0.04","2.1"
"Jefferson","21.4","59.09","34.14","1.01","3.95","0.09","1.71"
"Jim Hogg","92.68","97.27","0.81","0.6","0.56","0.04","0.73"
"Jim Wells","80.38","96.52","0.98","1.01","0.57","0.08","0.84"
"Johnson","21.95","91.73","3.85","0.98","0.93","0.5","2.02"
"Jones","27.68","82.89","13.39","1.39","0.79","0.01","1.54"
"Karnes","55.34","88.17","9.27","1.03","0.51","0.03","0.99"
