"County","% High School Graduate or Higher","% Bachelor s Degree or Higher","Unemployment Rate (%)"
"Montgomery","86.8","33","4.3"
"Moore","63.9","13.5","2.9"
"Morris","86.9","16.5","8.6"
"Motley","88.4","17.4","3.7"
"Nacogdoches","81.2","25.2","4.3"
"Navarro","76.8","15.7","3.9"
"Newton","86.7","7.5","7.9"
"Nolan","80.1","12.7","4.1"
"Nueces","81.3","20.5","5.4"
"Ochiltree","75.9","16.4","3.7"
"Oldham","84.8","25.9","2.5"
"Orange","89.2","15.2","6.9"
"Palo Pinto","82.7","15.8","4.1"
"Panola","84.3","14.2","5.5"
"Parker","89.3","27","3.5"
"Parmer","68.6","16","2.5"
"Pecos","68.8","9.6","4.5"
"Polk","80.5","12","6.0"
"Potter","76.4","14.6","3.2"
"Presidio","56.8","25","9.4"
"Rains","81.9","9.5","3.5"
"Randall","91.1","30.4","2.8"
"Reagan","71.5","11.5","3.8"
"Real","80.3","23.2","5.7"
"Red River","80.4","13.4","5.2"
"Reeves","61","11.2","3.5"
"Refugio","79.8","10.8","5.8"
"Roberts","93.9","31.5","3.7"
"Robertson","82.6","17.4","4.7"
"Rockwall","91.9","38","3.3"
"Runnels","78.8","18.1","3.8"
"Rusk","79.3","14.7","5.1"
"Sabine","85.4","12.9","8.6"
"San Augustine","80.5","11.5","7.5"
"San Jacinto","82.8","10","5.6"
"San Patricio","78.1","14.5","7.6"
"San Saba","74.5","14.5","3.2"
"Schleicher","76.3","19.1","3.7"
"Scurry","80.7","15.4","4.4"
"Shackelford","84.5","25.2","3.0"
"Shelby","75.4","15.3","5.1"
"Sherman","74.3","21.6","3.1"
"Smith","84.7","24.7","4.1"
"Somervell","82.7","19.2","4.5"
"Starr","48.5","9.3","11.7"
"Stephens","77.1","16.9","4.7"
"Sterling","85.8","23.7","3.8"
"Stonewall","79.5","13.5","3.4"
"Sutton","76.6","16.8","5.1"
"Swisher","80.5","14.8","4.1"
"Tarrant","85.2","30.7","3.7"
"Taylor","86.8","24.1","3.5"
"Terrell","76.4","17","4.9"
"Terry","69.2","12.1","5.0"
"Throckmorton","80.6","19.9","4.3"
"Titus","72.1","15.2","5.3"
"Tom Green","83.3","22.4","3.7"
"Travis","88.2","46.4","3.0"
"Trinity","83.7","12.2","5.5"
"Tyler","84.4","11.3","7.3"
"Upshur","83.4","15.8","5.2"
"Upton","75.4","9.9","3.8"
"Uvalde","69.3","14.9","4.7"
"Val Verde","66.9","17.5","5.1"
"Van Zandt","82.3","16.3","3.7"
"Victoria","83.6","18.8","4.8"
"Walker","82.6","19.5","4.6"
"Waller","78.4","18.7","4.9"
"Ward","77","14.1","4.1"
"Washington","82.6","22","4.2"
"Webb","65.7","17.5","4.2"
"Wharton","78","14.5","4.5"
"Wheeler","80.3","14.1","4.1"
"Wichita","86","22.2","3.7"
"Wilbarger","78","15.5","4.7"
"Willacy","63.1","8.6","11.0"
"Williamson","92.9","39.4","3.2"
"Wilson","84.9","19.3","3.5"
"Winkler","68.1","10.3","5.2"
"Wise","84.6","16.9","4.0"
"Wood","85.1","17.1","4.7"
"Yoakum","71.4","17.8","3.5"
"Young","81.6","18.6","3.8"
"Zapata","50.3","8.3","7.3"
"Zavala","59.2","9.1","11.1"
