"County","Median Age","% Age 17 and Under","% Age 65 and Older","% Age 85 and Older"
"Lamar","40.2","23.61","19.51","2.43"
"Lamb","36.9","27.53","17.37","2.63"
"Lampasas","43.8","21.6","20.17","2.16"
"Lavaca","43.6","23.26","23.69","3.65"
"Lee","42.2","21.74","18.67","1.95"
"Leon","45.7","22.35","24.9","2.56"
"Liberty","34.8","27.04","12.92","1.17"
"Limestone","40.7","22.02","19.93","2.24"
"Lipscomb","38.9","25.33","19.08","3"
"Live Oak","41.6","19.83","20.75","2.59"
"Llano","57.8","15.12","37.25","4.75"
"Loving","31.3","28.99","13.61","0"
"Lubbock","31.1","23.67","12.71","1.53"
"Lynn","37.1","27.26","16.37","1.87"
"Madison","34.7","21.24","15.85","1.92"
"Marion","51.1","18.08","27.37","2.71"
"Martin","32.6","31.35","11.42","1.32"
"Mason","49.5","20.19","29.25","3.32"
"Matagorda","37.8","25.56","17.44","1.94"
"Maverick","29.8","30.95","11.93","1.28"
"McCulloch","43","22.13","22.44","3.01"
"McLennan","33.4","24.52","14.7","1.97"
"McMullen","48.6","19.78","25.44","3.63"
"Medina","39.4","22.89","16.98","1.91"
"Menard","53.8","18.05","32.69","5"
"Midland","32.1","28.56","10.43","1.54"
"Milam","42.3","23.76","21.13","2.78"
"Mills","49.8","20.42","29.06","4.17"
"Mitchell","35.3","20.63","14.73","1.65"
"Montague","43.9","22.45","22.42","2.61"
"Montgomery","37.1","26.09","13.41","1.25"
"Moore","31.6","31.76","11.33","1.38"
"Morris","42.7","23.06","22.04","2.58"
"Motley","49.2","19.75","30.67","3.92"
"Nacogdoches","31.5","23.01","15.26","1.77"
"Navarro","37.9","26.41","17.26","1.99"
"Newton","44.1","19.61","21.17","2.31"
"Nolan","38","26.02","18.6","2.38"
"Nueces","36.1","24.31","14.92","1.79"
"Ochiltree","32.3","31.02","11.67","1.19"
"Oldham","40.2","23.39","14.96","1.33"
"Orange","38.2","24.76","16.46","1.84"
"Palo Pinto","41.6","23","20.19","2.1"
"Panola","40.7","23.29","19.79","1.93"
"Parker","39.3","24.73","15.63","1.52"
"Parmer","35.1","28.21","14.22","1.79"
"Pecos","35.8","24.53","13.53","1.43"
"Polk","44","19.87","18.95","1.04"
"Potter","34.2","27.27","12.95","1.7"
"Presidio","39.7","26.83","23.88","4.24"
"Rains","47.8","20.18","24.96","2.02"
"Randall","36.3","23.9","15.56","1.65"
"Reagan","34.1","28.97","11.09","1.14"
"Real","52.6","16.43","30.5","2.61"
"Red River","47.7","19.57","25.32","3.27"
"Reeves","33.6","22.41","11.76","1.55"
"Refugio","44.1","22.06","23.27","2.68"
"Roberts","41.6","23.19","22.6","1.64"
"Robertson","40.6","23.43","19.98","2.47"
"Rockwall","37.8","26.63","12.77","1.32"
"Runnels","41.5","23.18","20.98","2.77"
"Rusk","39.3","22.1","16.9","2.03"
"Sabine","53.4","18.08","30.99","3.49"
"San Augustine","50","19.46","27.04","4.02"
"San Jacinto","45.5","21.21","22.48","2.19"
"San Patricio","36.2","26.37","15.3","1.54"
"San Saba","41.1","20.05","24.19","3.5"
"Schleicher","39.2","23.88","20.01","1.43"
"Scurry","36.7","24.8","15.36","2.22"
"Shackelford","44.2","22.85","21.16","2.51"
"Shelby","38.6","25.97","17.93","1.99"
"Sherman","37.6","26.74","15.29","2.15"
"Smith","36.8","24.39","16.9","2.08"
"Somervell","42.7","21.95","19.39","2.43"
"Starr","29","32.64","11.4","1.26"
"Stephens","40.1","21.96","20.18","2.73"
"Sterling","36.4","28.51","14.41","2.71"
"Stonewall","47.7","22.44","26.74","5.11"
"Sutton","41.7","23.57","19.15","2.49"
"Swisher","36.3","24.66","17.64","2.62"
"Tarrant","34.8","26.03","11.63","1.24"
"Taylor","32.6","24.81","14.58","2.02"
"Terrell","51","18.81","32.86","5.41"
"Terry","34.6","27.22","15.06","1.84"
"Throckmorton","51.1","19.25","29.65","4.46"
"Titus","34.2","28.68","14.79","1.65"
"Tom Green","34.5","23.77","15.62","1.99"
"Travis","34.8","21.22","10.17","1.04"
"Trinity","48.9","19.71","27","2.51"
"Tyler","42.5","19.26","22.59","2.62"
"Upshur","41","23.79","18.74","1.98"
"Upton","35.1","28.63","14.68","2.16"
"Uvalde","34.5","26.81","16.86","2.45"
"Val Verde","31.9","28.39","14.28","1.93"
"Van Zandt","42.7","22.98","20.31","2.16"
"Victoria","36.3","25.25","16.55","2.14"
"Walker","36.2","14.7","13.77","1.45"
"Waller","29.6","24.12","11.85","1.19"
"Ward","33.9","28.84","13.58","2"
"Washington","41.6","21.36","21.99","3.52"
"Webb","29.1","32.41","9.73","1.12"
"Wharton","37.4","25.78","17.42","2.24"
"Wheeler","40.1","25.4","19.82","2.1"
"Wichita","34.6","22.53","15.01","2.13"
"Wilbarger","39.5","22.09","18.96","2.52"
"Willacy","33.1","23.48","14.31","1.88"
"Williamson","36.7","25.22","12.4","1.18"
"Wilson","40.2","23.81","16.47","1.81"
"Winkler","33.3","29.08","12.03","1.2"
"Wise","38.9","24.69","15.14","1.33"
"Wood","48.9","18.86","27.51","2.8"
"Yoakum","30.6","32.7","11.86","1.33"
"Young","41.6","23.66","20.96","2.82"
"Zapata","30","33.06","13.16","1.47"
"Zavala","31.4","28.39","14.55","1.69"
