"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Garza","$30,072","$197,811,000","$46,490","$39,320","24.6","26.4"
"Gillespie","$60,561","$1,623,285,000","$61,433","$38,547","9.6","15.7"
"Glasscock","$102,145","$141,777,000","$83,330","$58,493","9.7","13.3"
"Goliad","$43,858","$332,620,000","$55,008","$35,801","14.4","22.6"
"Gonzales","$43,342","$902,643,000","$49,829","$42,122","16.9","25.3"
"Gray","$44,002","$963,417,000","$49,121","$49,587","16.7","21.9"
"Grayson","$42,195","$5,653,755,000","$51,403","$43,724","12.3","16.6"
"Gregg","$45,401","$5,616,460,000","$50,610","$47,516","15.1","20.9"
"Grimes","$35,450","$1,005,370,000","$49,498","$49,614","17.5","25.3"
"Guadalupe","$44,809","$7,334,889,000","$73,864","$44,438","8.5","12"
"Hale","$32,263","$1,091,460,000","$42,782","$37,633","18.4","26.2"
"Hall","$30,180","$91,385,000","$32,597","$28,510","24.1","38.8"
"Hamilton","$60,744","$515,349,000","$49,210","$36,599","14.7","23.4"
"Hansford","$62,998","$344,157,000","$57,240","$57,740","11.6","17.2"
"Hardeman","$38,212","$149,866,000","$42,469","$36,630","17.4","27.1"
"Hardin","$45,982","$2,630,490,000","$60,909","$42,903","12.4","17.1"
"Harris","$56,474","$265,351,328,000","$60,241","$70,558","16.5","24.8"
"Harrison","$41,917","$2,796,985,000","$50,131","$49,400","14.7","22.8"
"Hartley","$62,463","$350,981,000","$72,451","$40,922","9.5","10.3"
"Haskell","$34,530","$200,723,000","$40,880","$36,605","23.1","33.9"
"Hays","$43,719","$9,733,094,000","$68,180","$40,318","13.2","12.1"
"Hemphill","$58,484","$223,700,000","$66,849","$59,123","9.6","13.4"
"Henderson","$39,627","$3,261,280,000","$43,337","$37,208","19.4","29.9"
"Hidalgo","$26,410","$22,869,174,000","$38,785","$34,363","30","40.4"
"Hill","$39,205","$1,425,242,000","$48,670","$41,027","12.6","20.2"
"Hockley","$38,975","$895,641,000","$46,764","$53,790","19.5","28.1"
"Hood","$50,741","$3,071,694,000","$60,917","$43,893","10.2","16.8"
"Hopkins","$39,120","$1,440,001,000","$52,079","$39,227","14.6","21.1"
"Houston","$38,081","$882,307,000","$39,533","$49,460","26.1","40.8"
"Howard","$40,255","$1,467,670,000","$50,423","$51,178","20.6","25.1"
"Hudspeth","$32,472","$155,701,000","$42,671","$57,753","17.8","25"
"Hunt","$38,029","$3,669,530,000","$53,360","$52,234","13.6","20.1"
"Hutchinson","$41,550","$880,768,000","$54,351","$61,233","13","18.9"
"Irion","$68,327","$103,994,000","$56,775","$62,744","8.1","10.2"
"Jack","$44,061","$389,633,000","$48,780","$60,768","17.7","21.9"
"Jackson","$41,770","$621,281,000","$54,088","$44,782","12.9","19.4"
"Jasper","$40,803","$1,463,683,000","$47,551","$41,134","19.2","29.9"
