"County","Land Area","Water Area","Total Area","Percent Urban","Percent Rural"
"Hutchinson","887.40","7.50","895.00","77.44","22.56"
"Irion","1,051.50","0.10","1,051.60","0","100"
"Jack","911.00","9.20","920.10","46.78","53.22"
"Jackson","829.40","27.40","856.90","38.18","61.82"
"Jasper","938.70","31.00","969.70","21.81","78.19"
"Jeff Davis","2,264.60","0.10","2,264.60","0","100"
"Jefferson","876.80","235.90","1,112.70","91.6","8.4"
"Jim Hogg","1,136.20","0.00","1,136.20","82.6","17.4"
"Jim Wells","865.20","3.40","868.50","59.91","40.09"
"Johnson","724.70","9.40","734.00","62.13","37.87"
"Jones","928.60","8.50","937.10","14.85","85.15"
"Karnes","747.80","5.80","753.50","61.61","38.39"
"Kaufman","780.90","26.70","807.60","51.18","48.82"
"Kendall","662.50","0.60","663.00","41.84","58.16"
"Kenedy","1,458.60","487.20","1,945.80","0","100"
"Kent","902.50","0.40","902.90","0","100"
"Kerr","1,103.30","4.00","1,107.30","58.9","41.1"
"Kimble","1,251.00","0.20","1,251.20","55.7","44.3"
"King","910.90","2.50","913.30","0","100"
"Kinney","1,360.50","4.60","1,365.10","79.54","20.46"
"Kleberg","881.30","208.90","1,090.20","81.13","18.87"
"Knox","850.60","4.90","855.50","0","100"
"La Salle","1,486.70","7.50","1,494.20","53.65","46.35"
"Lamar","907.30","25.80","933.10","52.92","47.08"
"Lamb","1,016.20","1.50","1,017.70","42.31","57.69"
"Lampasas","712.50","1.10","713.60","31.73","68.27"
"Lavaca","969.70","0.70","970.40","18.68","81.32"
"Lee","629.00","5.10","634.10","30.28","69.72"
"Leon","1,073.20","7.50","1,080.60","0","100"
"Liberty","1,158.30","18.00","1,176.30","36.77","63.23"
"Limestone","905.40","27.70","933.20","46.38","53.62"
"Lipscomb","932.20","0.10","932.30","0","100"
"Live Oak","1,039.70","39.20","1,078.90","0","100"
"Llano","934.10","31.80","965.90","54.82","45.18"
"Loving","668.80","7.70","676.50","0","100"
"Lubbock","895.60","5.10","900.70","88.66","11.34"
"Lynn","891.90","1.60","893.50","43.28","56.72"
"Madison","466.10","6.40","472.40","32.6","67.4"
"Marion","380.90","39.40","420.30","0","100"
"Martin","915.00","0.70","915.70","0","100"
"Mason","928.80","3.40","932.20","0","100"
"Matagorda","1,092.90","519.60","1,612.50","63.58","36.42"
"Maverick","1,279.50","12.30","1,291.80","90.74","9.26"
"McCulloch","1,065.60","7.80","1,073.40","64.67","35.33"
"McLennan","1,036.70","23.60","1,060.20","76.65","23.35"
"McMullen","1,139.80","17.00","1,156.80","0","100"
"Medina","1,325.40","9.20","1,334.50","38.44","61.56"
"Menard","902.00","0.20","902.30","0","100"
"Midland","900.40","1.60","902.00","87.71","12.29"
"Milam","1,016.70","4.60","1,021.20","43.82","56.18"
"Mills","748.20","1.60","749.80","0","100"
"Mitchell","911.10","4.80","915.90","63.26","36.74"
"Montague","930.90","7.40","938.30","41.06","58.94"
"Montgomery","1,042.30","34.60","1,076.90","77.27","22.73"
"Moore","899.70","9.90","909.60","83.19","16.81"
"Morris","252.00","6.70","258.70","21.58","78.42"
"Motley","989.60","0.20","989.80","0","100"
"Nacogdoches","946.60","34.60","981.20","53.54","46.46"
"Navarro","1,009.60","76.30","1,085.90","47.34","52.66"
"Newton","933.70","6.10","939.70","0","100"
"Nolan","912.00","2.00","913.90","67.34","32.66"
"Nueces","839.10","326.40","1,165.40","93.55","6.45"
"Ochiltree","917.70","0.50","918.20","86.09","13.91"
"Oldham","1,500.50","0.90","1,501.40","0","100"
"Orange","333.80","45.70","379.50","64.83","35.17"
"Palo Pinto","952.50","33.00","985.50","49.78","50.22"
"Panola","811.40","10.00","821.30","27.28","72.72"
"Parker","903.70","6.40","910.10","43.92","56.08"
"Parmer","880.80","4.40","885.20","39.98","60.02"
"Pecos","4,763.80","1.00","4,764.80","60.22","39.78"
"Polk","1,057.00","52.60","1,109.70","22.36","77.64"
"Potter","908.40","13.60","922.00","91","9"
"Presidio","3,855.30","0.70","3,855.90","59.53","40.47"
"Rains","229.50","29.40","258.80","6.77","93.23"
"Randall","912.70","9.70","922.40","85.62","14.38"
"Reagan","1,175.30","0.70","1,176.00","86.69","13.31"
"Real","699.20","0.90","700.10","0","100"
"Red River","1,043.90","12.80","1,056.70","24.27","75.73"
"Reeves","2,635.40","6.70","2,642.10","85.5","14.5"
"Refugio","770.50","47.80","818.20","39.32","60.68"
"Roberts","924.10","0.10","924.20","0","100"
"Robertson","855.20","10.60","865.70","26.15","73.85"
"Rockwall","127.20","21.70","148.90","83.96","16.04"
"Runnels","1,051.10","6.00","1,057.10","59.24","40.76"
"Rusk","924.00","14.40","938.40","34.13","65.87"
"Sabine","491.70","84.90","576.60","0","100"
"San Augustine","530.70","61.60","592.30","0","100"
"San Jacinto","569.20","58.70","627.90","0","100"
"San Patricio","693.40","14.50","707.90","80.35","19.65"
"San Saba","1,135.30","3.20","1,138.50","50.64","49.36"
"Schleicher","1,310.60","0.00","1,310.70","0","100"
"Scurry","905.40","2.10","907.50","68.3","31.7"
"Shackelford","914.30","1.30","915.50","0","100"
"Shelby","795.60","39.00","834.60","20.57","79.43"
"Sherman","922.90","0.20","923.00","0","100"
"Smith","921.50","28.20","949.70","68.39","31.61"
"Somervell","186.50","5.50","192.00","0","100"
"Starr","1,223.20","5.90","1,229.10","76.29","23.71"
"Stephens","896.70","24.80","921.50","60.63","39.37"
"Sterling","923.40","0.10","923.50","0","100"
"Stonewall","916.30","3.90","920.20","0","100"
"Sutton","1,453.90","0.50","1,454.40","81.2","18.8"
"Swisher","890.20","10.50","900.70","62.43","37.57"
"Tarrant","865.30","38.70","903.90","98.71","1.29"
"Taylor","915.50","3.80","919.30","83.97","16.03"
"Terrell","2,358.00","0.10","2,358.10","0","100"
"Terry","888.80","2.10","890.90","75.33","24.67"
"Throckmorton","912.60","2.90","915.50","0","100"
"Titus","406.10","19.60","425.60","49.44","50.56"
"Tom Green","1,522.00","18.60","1,540.60","84.36","15.64"
"Travis","993.50","30.80","1,024.30","94.54","5.46"
"Trinity","693.80","20.20","714.00","22.76","77.24"
"Tyler","924.40","11.20","935.60","21.87","78.13"
"Upshur","583.00","9.60","592.60","20.7","79.3"
"Upton","1,241.30","0.20","1,241.50","0","100"
"Uvalde","1,551.90","6.70","1,558.60","68.62","31.38"
"Val Verde","3,144.70","87.90","3,232.70","89.84","10.16"
"Van Zandt","842.60","17.00","859.60","24.98","75.02"
