County,Fips Code,Population,Sq mi
Stonewall County,433,"1,388",919
Sutton County,435,"3,767","1,454"
Swisher County,437,"7,515",900
Tarrant County,439,"2,054,475",864
Taylor County,441,"136,290",916
Terrell County,443,810,"2,358"
Terry County,445,"12,715",890
Throckmorton County,447,"1,527",912
Titus County,449,"32,904",411
Tom Green County,451,"118,019","1,522"
Travis County,453,"1,226,698",989
Trinity County,455,"14,667",693
Tyler County,457,"21,539",923
Upshur County,459,"41,281",588
Upton County,461,"3,663","1,242"
Uvalde County,463,"27,132","1,557"
Van Zandt County,467,"55,182",849
Victoria County,469,"92,084",883
Walker County,471,"72,245",788
Waller County,473,"51,307",514
Ward County,475,"11,472",836
Washington County,477,"35,043",609
Webb County,479,"274,794","3,357"
Wharton County,481,"41,968","1,090"
Wheeler County,483,"5,358",914
Wichita County,485,"132,000",628
Wilbarger County,487,"12,764",971
Willacy County,489,"21,584",597
Williamson County,491,"547,545","1,124"
Wilson County,493,"49,304",807
Winkler County,495,"7,574",841
Wise County,497,"66,181",905
Wood County,499,"44,314",650
Yoakum County,501,"8,568",800
Young County,503,"17,979",922
Zapata County,505,"14,322",997
Zavala County,507,"11,948","1,299"
